,avg_episode_lengths
0,56.9
1,54.5
2,49.2
3,37.8
4,70.1
5,66.3
6,46.2
7,73.9
8,76.2
9,56.1
10,70.0
11,69.1
12,73.3
13,44.9
14,56.1
15,62.5
16,38.6
17,65.2
18,93.9
19,66.4
20,94.1
21,70.9
22,97.8
23,124.6
24,107.7
25,149.0
26,84.9
27,125.2
28,109.5
29,123.3
30,132.1
31,139.3
32,175.3
33,125.6
34,139.9
35,135.6
36,144.4
37,169.2
38,159.8
39,166.3
40,154.1
41,153.4
42,191.9
43,189.9
44,165.3
45,203.4
46,198.4
47,200.2
48,208.8
49,211.5
50,265.7
51,172.1
52,198.3
53,184.8
54,194.8
55,221.3
56,213.0
57,201.5
58,223.8
59,181.3
60,204.1
61,229.8
62,222.7
63,219.7
64,212.6
65,230.6
66,219.4
67,251.5
68,240.8
69,315.5
70,261.8
71,278.7
72,218.3
73,238.1
74,240.0
75,283.0
76,312.7
77,329.6
78,298.7
79,266.0
80,362.1
81,334.5
82,320.7
83,310.8
84,283.9
85,345.5
86,319.5
87,322.4
88,322.8
89,309.4
90,236.4
91,294.8
92,320.5
93,312.7
94,268.3
95,298.4
96,343.8
97,274.1
98,311.0
99,307.7
100,291.5
101,305.8
102,294.2
103,273.9
104,315.1
105,272.6
106,392.8
107,369.9
108,359.4
109,276.4
110,434.5
111,369.7
112,341.2
113,396.6
114,383.9
115,397.4
116,349.8
117,357.3
118,342.5
119,301.5
120,311.9
121,357.2
122,350.0
123,356.5
124,376.8
125,316.0
126,336.8
127,342.4
128,334.5
129,360.2
130,388.4
131,388.9
132,343.6
133,389.4
134,353.0
135,360.6
136,258.4
137,332.8
138,283.0
139,280.6
140,345.8
141,312.7
142,295.1
143,310.7
144,338.8
145,312.3
146,288.0
147,314.5
148,319.9
149,311.7
150,330.7
151,354.7
152,253.8
153,324.4
154,348.7
155,293.7
156,299.7
157,345.1
158,292.9
159,263.0
160,344.8
161,298.3
162,304.8
163,332.6
164,359.8
165,292.6
166,319.0
167,271.2
168,304.7
169,380.5
170,365.7
171,328.8
172,338.9
173,366.6
174,410.0
175,399.2
176,394.9
177,355.2
178,388.0
179,394.2
180,298.7
181,388.6
182,390.9
183,342.1
184,358.3
185,319.4
186,311.1
187,375.2
188,302.3
189,310.6
190,274.4
191,378.1
192,299.1
193,304.1
194,314.3
195,312.8
196,356.1
197,333.6
198,263.5
199,308.6
200,250.5
201,273.7
202,399.1
203,253.3
204,276.8
205,281.1
206,273.8
207,314.4
208,277.8
209,237.6
210,238.3
211,219.3
212,262.1
213,304.4
214,326.2
215,295.4
216,253.5
217,314.6
218,251.0
219,275.4
220,234.6
221,288.8
222,244.4
223,262.8
224,270.3
225,234.6
226,231.1
227,267.5
228,240.9
229,251.7
230,242.5
231,285.3
232,297.2
233,217.6
234,242.4
235,253.5
236,289.3
237,327.5
238,292.8
239,268.9
240,264.1
241,243.9
242,248.5
243,234.9
244,276.6
245,309.0
246,292.0
247,307.9
248,403.0
249,315.4
250,362.4
251,388.3
252,408.1
253,429.8
254,436.9
255,467.1
256,406.3
257,429.8
258,421.6
259,425.5
260,417.5
261,430.6
262,399.7
263,410.5
264,407.9
265,389.5
266,364.6
267,358.1
268,347.2
269,336.8
270,365.4
271,372.8
272,370.4
273,355.7
274,381.6
275,372.8
276,334.5
277,331.8
278,290.3
279,340.1
280,300.0
281,360.7
282,327.6
283,324.1
284,345.4
285,341.7
286,339.4
287,387.8
288,316.4
289,363.3
290,384.1
291,345.8
292,390.5
293,414.2
294,432.7
295,434.6
296,469.9
297,463.1
298,430.0
299,421.5
300,488.2
301,454.5
302,457.6
303,476.1
304,461.3
305,481.6
306,488.6
307,448.1
308,451.4
309,413.2
310,457.1
311,476.6
312,461.2
313,461.0
314,418.3
315,461.3
316,415.2
317,389.9
318,413.2
319,476.1
320,439.3
321,422.8
322,421.3
323,378.4
324,359.7
325,352.6
326,455.7
327,397.6
328,421.3
329,379.2
330,396.6
331,389.2
332,389.1
333,397.9
334,375.6
335,418.0
336,376.6
337,357.7
338,367.2
339,443.3
340,349.8
341,326.1
342,360.5
343,436.9
344,425.4
345,412.7
346,416.1
347,452.5
348,459.2
349,394.7
350,469.5
351,439.2
352,458.0
353,476.8
354,443.7
355,451.6
356,484.9
357,471.9
358,474.6
359,500.0
360,500.0
361,487.1
362,499.7
363,500.0
